"Bu Code","Consignee Code","Consignee Name","Shelf Life Percentage"
"NFPL","X539","SMG ",
"NFPL","Suzuki Motor Gujarat Private Limited","Suzuki Motor Gujarat Private Limited",
"NFPL","BIPL","Brakes India Private Limited",0
"NFPL","Quality","Quality Advics",
"NFPL","AIPL PLANT ","ADVICS INDIA PRIVATE LIMITED",124001
"NFPL","AIPL PLANT 1","Plot no 7, 8 & 9 sector 30 B IMT ROHTAK HARYANA 124001",124001
"NFPL","124001","ADVICS INDIA PVT. LTD.",
"NFPL","AT INDIA","AT INDIA AUTOPARTS PVT LTD",
"NFPL","124002","ADVICS CO. LTD-JAPAN",
"NFPL","MSIL","Maruti Suzuki India Limited",
"NFPL","MSIL  [Maruti Suzuki India Limited ]","Block No-357, Village- Hansalpur, Near Becharaji, Taluka Mandal, Japanees Park Ahmedabad, Gujarat 382130 Contact :Yogesh Shridhar",
"NFPL","C4000129","MSIL [Maruti Suzuki India Limited ]",0
"NFPL","0002","ADVICS INDIA PVT LTD",0
"NFPL","C4000131","Maruti Suzuki India Limited",0
