"Bu Code","Consignee Code","Line Address 1","Line Address 2","State","Country","Post Code"
"NFPL","Suzuki Motor Gujarat Private Limited","Becharaji, Survey No-293, Block No-334 & 335,","Village Hansalpur, Taluka Mandal Ahmedabad ","Gujarat","India ","382130"
"NFPL","BIPL","Plot No.- 824/B, GIDC, Jhagadia,","District- Bharuch,","Gujarat","India","393110"
"NFPL","Quality","Quality Team","Detroj Warehouse","Gujarat","India","382120"
"NFPL","AIPL PLANT ","Plot No 106, 107, & 108 Industrial Area Narsapura 
","Kolar","Karnataka","INDIA","563133"
"NFPL","124001","PLOT NO 7,8 & 9 SECTOR-30B ","IMT ROHTAK ","HARYANA","INDIA","124001"
"NFPL","AT INDIA","33 & 34 Toyota Autopark, Bidadi Industrial Area","Bidadi, Ramnagar Taluk & District, Bangaluru.","Karnataka","India","562109"
"NFPL","124002","2-1, SHOWA-CO. LTD.
","KARIYA AICHI","JAPAN","JAPAN","999999"
"NFPL","MSIL","Block No-334/335, Hansalpur, Near Becharaji,","Taluka Mandal, Ahmedabad,","Gujarat","India","382130"
"NFPL","C4000129","Block No-357, Village- Hansalpur,","Near Becharaji, Taluka Mandal, Japanees Park -Ahmedabad,","GUJARAT","INDIA","382130"
"NFPL","0002","Plot No 106, 107, & 108 Industrial Area Narsapura","Kolar","Karnataka","india","563133"
"NFPL","C4000131","Block No-334, 335 - Old 158, 293, Village- Hansalpur,","Near Becharaj Special Investment Zone,
Ahmedabad, Gujarat 382130","GUJARAT","INDIA","382130"
